KECAMATAN;DR SPESIALIS;DOKTER UMUM;DOKTER GIGI;DOKTER GIGI SPESIALIS;PERAWAT;BIDAN;KESEHATAN MASYARAKAT;KESEHATAN LINGKUNGAN;GIZI;AHLI LAB MEDIK;TENAGA TEKNIK BIOMEDIKA LAIN;KETERAPIAN FISIK;KETEKNISAN MEDIS;TEKNIS KEFARMASIAN;APOTEKER;TENAGA PENUNJANG/PENDUKUNG KES;TOTAL;sby bagian;timur;barat;selatan;utara;pusat;0,05
Asemrowo;0;4;2;0;7;6;2;2;2;1;0;0;2;1;1;14;44;jumlah perawat;88;90;121;95;58;95%
Benowo;0;9;2;0;9;19;2;1;2;1;0;0;2;2;1;16;66;yamane;87,78054863;89,7755611;120,6982544;94,76309227;57,8553616;
Bubutan;0;6;5;0;15;11;4;2;4;2;0;0;3;1;2;27;82;;;;;;;
Bulak;0;5;1;0;5;8;2;1;2;2;0;0;1;1;1;12;41;;;;;;;
Dukuh Pakis;0;6;2;0;9;13;2;1;3;1;0;0;1;1;1;18;58;;;;;;;
Gayungan;0;5;2;0;6;10;2;1;2;2;0;0;1;1;1;18;51;;;;;;;
Genteng;0;11;4;0;12;13;4;2;4;2;0;0;5;2;2;27;88;;;;;;;
Gubeng;0;9;5;0;11;14;3;2;4;3;0;0;4;2;2;29;88;;;;;;;
Gunung Anyar;0;7;2;0;12;14;2;1;2;1;0;0;2;2;1;20;66;;;;;;;
Jambangan;0;10;3;0;10;12;2;1;3;2;0;0;1;1;1;20;66;;;;;;;
Karang Pilang;0;7;2;0;10;14;2;1;2;2;0;0;2;1;1;21;65;;;;;;;
Kenjeran;0;24;8;0;36;34;10;4;11;4;0;0;6;2;4;61;204;;;;;;;
Krembangan;0;18;5;0;23;31;6;4;7;5;0;0;5;4;3;51;162;;;;;;;
Lakarsantri;0;10;7;0;15;15;7;3;6;3;0;0;6;4;3;27;106;;;;;;;
Mulyorejo;0;12;5;0;15;22;4;2;3;2;0;0;2;2;2;28;99;;;;;;;
Pabean Cantikan;0;5;2;0;5;9;2;1;2;2;0;0;2;1;2;15;48;;;;;;;
Pakal;0;5;2;0;8;10;2;1;4;1;0;0;2;1;1;11;48;;;;;;;
Rungkut;0;11;4;1;16;22;4;2;4;2;0;0;4;2;2;33;107;;;;;;;
Sambikerep;0;9;3;0;9;13;4;2;3;2;0;0;3;2;2;21;73;;;;;;;
Sawahan;0;22;9;0;28;39;9;4;9;5;0;0;5;4;4;57;195;;;;;;;
Semampir;0;17;8;0;26;19;10;3;8;5;0;0;6;4;4;54;164;;;;;;;
Simokerto;0;11;4;0;19;13;5;2;4;4;0;0;3;1;2;28;96;;;;;;;
Sukolilo;0;13;8;0;17;20;5;4;6;3;0;1;4;4;3;43;131;;;;;;;
Sukomanunggal;0;18;4;0;21;26;4;2;5;3;0;0;3;1;3;32;122;;;;;;;
Tambaksari;0;13;5;0;19;17;7;3;5;4;0;0;4;3;3;37;120;;;;;;;
Tandes;0;18;3;0;21;28;4;2;5;2;0;0;2;2;2;39;128;;;;;;;
Tegalsari;0;7;4;0;12;11;4;2;3;2;0;0;4;2;2;24;77;;;;;;;
Tenggilis;0;5;2;0;15;15;2;1;2;1;0;0;1;0;1;18;63;;;;;;;
Wiyung;0;12;4;0;12;17;4;2;4;3;0;0;3;1;2;27;91;;;;;;;
Wonocolo;0;16;7;0;21;21;7;3;5;4;0;0;4;2;3;39;132;;;;;;;
Wonokromo;0;17;7;1;25;24;6;3;7;4;1;3;8;2;3;51;162;;;;;;;
TOTAL (KOTA);0;342;131;2;469;540;133;65;133;80;1;4;101;59;65;918;3043;;;;;;;
