Kecamatan;Jenis Faskes;Penyelenggara Faskes;Nama Faskes;;
Asemrowo;Puskesmas Induk;Pemerintah Kota;Puskesmas Asemrowo;;
Asemrowo;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Tambak Langon;;
Benowo;Puskesmas Induk;Pemerintah Kota;Puskesmas Sememi;;
Benowo;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Kandangan;;
Benowo;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Romo Kalisari;;
Bubutan;Puskesmas Induk;Pemerintah Kota;Puskesmas Gundih;;
Bubutan;Puskesmas Induk;Pemerintah Kota;Puskesmas Tembok Dukuh;;
Bubutan;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Asem Jajar;;
Bulak;Puskesmas Induk;Pemerintah Kota;Puskesmas Kenjeran;;
Bulak;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Bulak;;
Bulak;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Kedung Cowek;;
Dukuh Pakis;Puskesmas Induk;Pemerintah Kota;Puskesmas Dukuh Kupang;;
Dukuh Pakis;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Gunungsari;;
Dukuh Pakis;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Pradah Kali Kendal;;
Gayungan;Puskesmas Induk;Pemerintah Kota;Puskesmas Gayungan;;
Gayungan;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Dukuh Menanggal;;
Genteng;Puskesmas Induk;Pemerintah Kota;Puskesmas Ketabang;;
Genteng;Puskesmas Induk;Pemerintah Kota;Puskesmas Peneleh;;
Genteng;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Embong Kaliasin;;
Gubeng;Puskesmas Induk;Pemerintah Kota;Puskesmas Mojo;;
Gubeng;Puskesmas Induk;Pemerintah Kota;Puskesmas Pucang Sewu;;
Gubeng;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Baratajaya;;
Gubeng;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Gubeng Klingsingan;;
Gunung Anyar;Puskesmas Induk;Pemerintah Kota;Puskesmas Gunung Anyar;;
Gunung Anyar;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Rungkut Menanggal;;
Jambangan;Puskesmas Induk;Pemerintah Kota;Puskesmas Kebonsari;;
Jambangan;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Jambangan;;
Jambangan;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Karah;;
Jambangan;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Ketintang;;
Jambangan;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Pagesangan;;
Karang Pilang;Puskesmas Induk;Pemerintah Kota;Puskesmas Kedurus;;
Karang Pilang;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Kebraon;;
Karang Pilang;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Warugunung;;
Kenjeran;Puskesmas Induk;Pemerintah Kota;Puskesmas Bulak Banteng;;
Kenjeran;Puskesmas Induk;Pemerintah Kota;Puskesmas Sidotopo Wetan;;
Kenjeran;Puskesmas Induk;Pemerintah Kota;Puskesmas Tambak Wedi;;
Kenjeran;Puskesmas Induk;Pemerintah Kota;Puskesmas Tanah Kali Kedinding;;
Kenjeran;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Tanah Kali Kedinding;;
Krembangan;Puskesmas Induk;Pemerintah Kota;Puskesmas Dupak;;
Krembangan;Puskesmas Induk;Pemerintah Kota;Puskesmas Krembangan Selatan;;
Krembangan;Puskesmas Induk;Pemerintah Kota;Puskesmas Morokrembangan;;
Krembangan;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Krembangan Baru;;
Lakarsantri;Puskesmas Induk;Pemerintah Kota;Puskesmas Bangkingan;;
Lakarsantri;Puskesmas Induk;Pemerintah Kota;Puskesmas Jeruk;;
Lakarsantri;Puskesmas Induk;Pemerintah Kota;Puskesmas Lidah Kulon;;
Mulyorejo;Puskesmas Induk;Pemerintah Kota;Puskesmas Kalijudan;;
Mulyorejo;Puskesmas Induk;Pemerintah Kota;Puskesmas Mulyorejo;;
Mulyorejo;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Sutorejo;;
